============================================================
ADAPTIVE WALL + AGGRESSION BACKTEST
============================================================

Regime Detection: 300 bar lookback
Choppy Mode: PT/SL = 10/5 ticks
Trend Mode:  PT/SL = 20/8 ticks
Trend filters: Only trade WITH the trend

============================================================
Backtesting 2025-10-10...
============================================================
  Processing 58354 bars...

  [choppy       ] ENTER SHORT: choppy_breakout_ask@25322.25 @ 25316.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25318.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25322.25 @ 25319.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25320.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25322.25 @ 25320.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25317.75 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25318.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25320.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25320.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25317.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25335.00 @ 25322.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25320.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25317.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25318.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25315.00 @ 25320.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25318.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25315.00 @ 25323.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25322.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25331.00 @ 25319.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25317.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25329.00 @ 25318.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25319.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25332.25 @ 25319.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25317.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25333.00 @ 25320.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25321.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25318.00 @ 25320.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25319.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25306.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25304.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25307.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25306.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25301.75 @ 25307.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25306.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25315.00 @ 25306.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25303.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25300.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25298.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25304.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25303.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25312.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25311.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25321.00 @ 25311.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25309.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25312.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25310.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25310.25 @ 25312.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25315.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25305.00 @ 25313.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25315.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25306.00 @ 25318.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25317.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25335.00 @ 25322.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25323.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25324.50 @ 25322.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25323.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25340.00 @ 25329.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25330.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25340.00 @ 25333.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25331.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25330.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25331.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25329.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25330.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25330.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25327.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25332.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25333.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25340.00 @ 25336.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25337.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25340.00 @ 25336.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25338.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25340.00 @ 25337.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25334.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25346.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25348.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25346.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25348.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25345.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25346.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25345.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25343.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25346.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25348.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25349.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25346.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25347.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25345.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25346.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25344.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25342.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25343.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25344.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25341.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25327.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25324.75 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25329.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25326.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25324.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25321.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25316.50 @ 25311.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25308.75 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25316.50 @ 25306.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25303.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25288.50 @ 25296.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25298.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25302.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25303.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25305.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25306.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25307.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25308.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25306.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25308.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25307.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25305.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25305.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25302.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25316.50 @ 25305.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25306.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25316.50 @ 25310.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25312.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25316.50 @ 25316.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25314.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25316.50 @ 25314.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25315.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25316.50 @ 25315.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25316.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25316.50 @ 25316.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25318.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25310.75 @ 25321.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25320.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25310.00 @ 25321.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25320.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25306.00 @ 25317.25 | PT/SL: 10/5
